,0,1,2,3,4,5,6,7,8,9
183,685,741,679,758,715,625,642,732,723,700
184,685,720,693,756,761,613,621,763,727,661
185,681,724,714,741,740,609,621,751,708,711
186,715,729,671,746,741,635,626,740,718,679
187,706,728,689,748,723,637,642,714,723,690
188,708,714,666,737,738,630,639,747,713,708
189,703,731,681,754,729,620,636,737,707,702
190,691,742,662,745,737,630,606,743,724,720
191,713,712,690,775,695,621,633,720,757,684
192,682,736,667,757,756,625,637,724,714,702
193,690,757,667,730,743,627,600,765,725,696
194,700,741,664,738,737,611,626,759,686,738
195,710,714,682,755,735,624,597,765,723,695
196,696,731,672,755,713,647,621,756,692,717
197,698,746,684,738,761,609,617,745,688,714
198,693,725,683,740,726,603,638,742,739,711
199,708,696,681,741,732,646,641,748,710,697
200,695,729,653,767,730,618,659,725,707,717
201,711,724,685,731,726,621,624,745,712,721
202,710,713,688,761,733,616,657,706,711,705
203,701,753,678,769,732,588,643,719,713,704
204,703,730,681,748,732,598,650,752,720,686
205,712,734,686,754,704,625,616,752,721,696
206,699,710,680,768,746,634,640,721,707,695
207,713,738,696,760,753,629,597,731,707,676
208,720,717,684,758,716,610,640,737,713,705
209,685,715,697,732,747,630,620,753,727,694
210,665,754,678,751,740,617,612,743,695,745
211,668,760,637,735,737,648,621,755,712,727
212,691,756,673,749,752,631,617,726,718,687
213,690,728,698,754,708,618,632,735,719,718
214,723,712,736,719,709,622,624,738,705,712
215,699,743,684,751,749,607,640,724,709,694
216,698,722,670,767,750,638,603,749,706,697
217,684,725,678,757,727,646,601,765,693,724
218,696,740,691,758,707,619,635,714,711,729
219,695,723,683,760,724,623,651,741,711,689
220,705,731,678,742,741,617,643,736,702,705
221,688,724,689,757,715,633,641,739,719,695
222,690,738,690,783,731,614,611,738,707,698
223,692,730,681,746,745,624,638,730,700,714
224,693,746,667,752,734,644,590,756,698,720
225,701,742,688,737,743,613,616,753,719,688
226,716,744,680,716,736,611,645,742,715,695
227,721,727,685,761,731,609,623,719,718,706
228,693,729,673,748,732,611,627,763,725,699
229,709,723,670,734,727,632,636,752,705,712
230,688,746,671,754,720,619,628,746,715,713
231,688,731,703,731,755,617,640,750,702,683
232,692,745,661,737,747,638,602,768,725,685
233,696,724,706,745,713,630,619,743,710,714
234,700,751,681,752,752,622,615,738,686,703
235,697,719,723,743,761,610,607,716,704,720
236,706,728,691,753,742,612,634,743,715,676
237,697,738,686,757,751,601,612,724,711,723
238,724,732,688,756,731,614,630,722,711,692
239,669,735,719,737,724,640,628,736,719,693
240,709,727,666,736,750,634,645,720,702,711
241,690,729,689,741,753,619,609,754,713,703
242,702,750,688,749,731,621,599,730,715,715
243,706,703,681,761,743,618,653,733,695,707
244,688,708,703,757,721,658,635,727,715,688
245,716,736,704,726,737,618,619,738,714,692
246,685,729,683,765,742,649,614,719,703,711
247,706,742,685,744,716,615,621,754,702,715
248,692,723,671,764,746,641,627,718,714,704
249,697,737,703,742,746,634,631,742,674,694
250,719,713,693,769,730,631,648,730,693,674
251,704,752,643,755,755,634,622,741,710,684
252,720,742,671,739,747,624,600,730,716,711
253,707,750,684,734,745,614,614,742,725,685
254,722,732,660,734,720,622,635,748,718,709
255,706,748,699,756,744,612,607,737,690,701
256,699,711,698,752,737,638,637,733,701,694
257,713,731,655,760,740,637,647,742,706,669
258,714,727,699,746,739,613,607,738,701,716
259,701,739,679,760,751,630,618,722,720,680
260,691,731,681,724,737,637,630,745,718,706
261,683,754,694,753,729,586,634,733,740,694
262,709,750,674,755,736,634,615,756,697,674
263,690,740,678,739,747,599,636,754,695,722
264,698,739,680,758,752,604,623,742,726,678
265,673,751,698,739,732,651,596,747,724,689
266,705,723,686,741,729,639,629,743,738,667
267,705,729,676,758,722,632,642,755,699,682
268,703,742,674,754,725,603,645,741,705,708
269,682,718,712,736,735,628,640,745,715,689
270,720,723,682,764,733,626,597,749,711,695
271,701,736,687,745,745,611,622,745,704,704
272,708,762,659,749,732,625,624,744,690,707
273,700,719,698,731,700,625,615,755,735,722
274,687,738,698,722,747,636,621,757,712,682
275,704,719,693,731,729,632,647,749,721,675
276,718,718,662,737,719,649,623,712,721,741
277,715,766,656,749,740,621,616,740,715,682
278,704,737,696,760,720,642,615,739,689,698
279,713,729,672,740,731,622,638,730,707,718
280,675,752,681,741,723,621,626,760,703,718
281,681,735,704,738,734,616,616,751,714,711
282,690,751,693,741,720,600,619,770,706,710
283,705,715,683,739,744,629,606,756,731,692
284,683,750,706,763,717,603,624,722,731,701
285,711,740,669,755,742,601,608,751,740,683
286,704,741,662,739,723,627,626,754,715,709
287,705,738,676,738,719,643,623,734,715,709
288,694,718,702,748,736,626,608,755,714,699
289,703,736,685,765,720,646,641,708,689,707
290,698,733,701,739,733,641,592,748,710,705
291,713,718,668,762,734,621,632,754,692,706
292,688,739,704,783,720,621,616,716,727,686
293,719,721,685,744,726,614,618,730,722,721
294,733,724,688,758,739,602,615,760,706,675
295,682,727,685,728,722,622,639,743,720,732
296,707,733,676,753,727,609,619,750,716,710
297,705,695,681,743,730,642,607,764,711,722
298,687,727,681,734,740,650,618,745,717,701
299,726,727,695,722,752,600,614,753,725,686
300,698,753,685,757,737,637,612,743,698,680
301,699,747,659,756,722,636,627,727,710,717
302,691,738,681,741,742,622,629,759,695,702
303,681,741,683,742,726,622,595,781,722,707
304,708,744,683,749,726,632,614,744,707,693
305,699,732,696,737,702,622,632,763,724,693
306,700,724,696,763,738,602,632,754,687,704
307,716,730,677,748,719,636,623,753,705,693
308,695,740,685,731,756,629,627,745,700,692
309,689,740,684,730,741,636,625,742,721,692
310,704,724,684,758,727,626,602,739,723,713
311,684,751,695,758,734,634,635,727,705,677
312,700,734,705,741,726,604,620,749,706,715
313,709,751,673,740,737,629,628,739,699,695
314,658,731,662,752,761,627,613,763,718,715
315,713,728,698,741,751,643,606,715,701,704
316,698,744,704,760,708,634,617,723,694,718
317,663,734,675,757,757,631,610,754,723,696
318,712,722,704,739,747,616,633,734,696,697
319,686,721,671,755,741,612,627,740,721,726
320,698,744,683,737,757,625,597,741,726,692
321,714,729,696,764,748,643,600,709,701,696
322,712,732,688,758,698,638,631,766,676,701
323,716,721,692,757,744,620,606,735,718,691
324,717,733,685,749,720,610,608,758,710,710
325,707,726,677,756,735,627,599,758,712,703
326,690,725,706,753,718,612,641,731,716,708
327,685,734,693,758,751,634,615,738,684,708
328,696,719,714,757,725,628,588,729,736,708
329,734,732,665,745,741,605,617,743,716,702
330,708,738,667,744,719,628,636,726,700,734
331,670,757,687,731,745,642,633,740,687,708
332,704,713,683,749,713,630,625,743,728,712
333,688,742,679,753,742,633,639,762,676,686
334,742,717,683,752,713,607,644,731,721,690
335,704,716,692,731,729,659,612,746,684,727
336,692,736,681,743,738,622,606,741,743,698
337,687,753,660,773,729,616,627,752,707,696
338,718,733,685,728,755,637,624,727,693,700
339,701,753,668,761,740,623,613,710,724,707
340,737,716,705,742,725,598,626,723,720,708
341,718,724,650,757,749,623,651,724,708,696
342,712,735,694,738,747,612,638,719,722,683
343,697,717,686,770,722,598,619,754,722,715
344,742,718,668,740,732,635,632,730,717,686
345,723,724,696,717,730,639,635,730,717,689
346,721,726,671,767,734,606,627,704,720,724
347,713,726,663,774,744,635,645,717,697,686
348,675,739,662,749,753,633,624,746,704,715
349,708,747,678,743,731,644,618,750,689,692
350,706,718,676,751,743,624,640,754,687,701
351,698,746,683,747,731,629,605,741,698,722
352,708,729,693,729,719,636,637,760,695,694
353,690,744,635,783,742,628,616,738,730,694
354,680,720,688,725,742,626,664,742,721,692
355,683,741,685,748,765,650,607,716,701,704
356,697,720,701,736,738,640,606,750,706,706
357,693,744,668,753,743,635,612,729,733,690
358,689,747,692,724,745,618,608,733,715,729
359,704,723,702,713,739,626,614,750,722,707
360,684,743,687,726,736,618,631,762,705,708
361,686,743,666,745,701,639,630,768,706,716
362,692,716,686,778,738,633,631,710,718,698
363,691,725,704,760,699,639,640,725,714,703
364,681,732,656,721,770,637,622,758,703,720
365,682,738,683,742,757,614,603,721,733,727
366,676,730,683,739,713,656,650,742,699,712
367,723,707,687,736,753,616,596,731,734,717
368,699,735,689,755,712,624,605,736,719,726
369,726,756,668,737,739,612,634,730,719,679
370,680,748,690,755,752,615,615,724,718,703
371,723,724,724,725,725,624,607,725,711,712
372,706,738,678,784,729,626,614,721,692,712
373,727,751,676,758,737,621,618,723,689,700
374,706,785,672,738,724,641,591,729,723,691
375,688,725,698,765,700,619,611,774,713,707
376,701,731,667,733,727,651,631,745,708,706
377,688,749,682,759,722,623,627,753,710,687
378,697,731,692,730,729,631,624,751,703,712
379,690,734,689,753,714,624,622,739,722,713
380,704,724,681,745,725,665,618,742,696,700
381,674,740,670,750,740,614,641,754,722,695
382,697,728,698,780,711,590,617,761,711,707
383,694,742,709,760,733,600,611,750,736,665
384,707,731,657,761,705,642,648,760,711,678
385,702,730,675,752,707,607,652,741,692,742
386,687,722,696,763,751,606,610,743,733,689
387,708,729,680,745,739,619,654,738,722,666
388,731,716,685,731,736,637,623,734,710,697
389,708,707,668,759,725,638,614,736,715,730
390,700,748,663,755,743,625,645,737,684,700
391,687,729,672,738,738,637,625,744,717,713
392,713,734,670,756,722,622,617,739,720,707
393,700,733,691,750,729,633,614,728,701,721
394,689,729,680,750,744,623,602,752,705,726
395,715,752,678,727,735,637,607,736,711,702
396,722,718,694,748,731,615,622,751,714,685
397,701,745,697,745,721,626,612,738,726,689
398,691,752,707,737,724,626,619,744,724,676
399,693,748,688,736,702,627,646,753,714,693
400,685,727,709,733,728,642,625,740,714,697
401,709,736,698,757,714,592,632,751,721,690
402,665,739,695,723,728,634,630,761,714,711
403,710,752,690,752,728,610,620,725,722,691
404,724,728,685,743,734,638,635,755,672,686
405,711,737,644,713,743,618,673,745,700,716
406,686,758,686,759,732,599,611,728,736,705
407,717,723,689,758,718,598,626,745,743,683
408,710,726,696,758,747,630,608,727,705,693
409,707,727,704,749,756,597,587,761,701,711
410,694,743,696,755,716,635,612,710,729,710
411,684,761,666,755,730,650,649,719,710,676
412,710,732,691,757,720,637,627,723,706,697
413,689,756,676,750,718,637,619,734,722,699
414,714,749,636,751,733,612,636,721,758,690
415,718,737,675,735,744,652,605,728,709,697
416,709,761,636,753,744,619,632,755,711,680
417,705,742,676,731,766,613,637,731,705,694
418,723,728,690,730,721,618,638,727,711,714
419,712,727,667,761,711,628,634,722,723,715
420,701,746,638,737,765,648,623,726,705,711
421,689,742,712,768,731,599,625,729,723,682
422,712,745,669,713,736,646,629,750,708,692
423,701,741,688,763,743,609,619,769,693,674
424,721,744,657,749,732,616,614,773,709,685
425,691,725,675,754,758,602,624,743,719,709
426,721,743,669,738,734,630,643,716,720,686
427,686,741,673,766,730,670,610,729,701,694
428,711,716,707,724,738,619,627,736,728,694
429,698,732,712,748,743,636,619,721,716,675
430,708,724,702,736,732,629,636,751,693,689
431,693,742,697,755,712,616,637,761,695,692
432,670,739,684,753,735,653,603,757,695,711
433,696,748,678,744,745,627,632,734,706,690
434,710,738,690,766,734,612,629,730,718,673
435,705,722,706,742,711,643,616,736,713,706
436,699,749,665,733,736,635,645,733,693,712
437,688,715,662,770,761,632,583,741,736,712
438,712,731,676,771,723,606,615,745,721,700
439,709,739,679,734,731,624,608,758,694,724
440,703,718,656,738,754,612,637,760,706,716
441,699,726,689,757,720,633,629,740,701,706
442,723,726,690,743,731,611,619,743,717,697
443,703,748,659,736,750,645,619,739,689,712
444,700,731,674,726,728,665,649,747,698,682
445,694,727,671,749,718,644,630,726,730,711
446,708,742,691,755,730,641,603,720,694,716
447,707,745,687,764,719,611,620,745,714,688
448,707,736,678,720,717,627,620,761,728,706
449,711,741,675,758,713,638,617,749,702,696
450,723,722,688,765,727,618,624,734,711,688
451,716,704,683,771,734,632,624,749,684,703
452,684,735,661,771,742,644,615,731,720,697
453,691,760,691,729,704,638,630,760,682,715
454,681,746,686,752,721,632,640,755,689,698
455,671,747,677,736,757,637,645,725,720,685
456,725,733,652,737,728,633,604,759,712,717
457,696,709,702,764,736,640,628,725,696,704
458,685,744,687,742,728,627,637,728,709,713
459,730,726,666,767,727,605,618,736,700,725
460,687,740,668,766,734,641,617,740,709,698
461,683,753,688,724,736,630,645,728,734,679
462,711,739,703,755,724,634,618,743,674,699
463,698,751,681,762,721,596,635,767,687,702
464,679,754,702,739,718,633,640,746,685,704
465,709,757,701,770,730,590,602,719,710,712
466,690,726,692,739,728,659,625,732,706,703
467,698,733,681,744,737,625,614,771,701,696
468,720,718,685,762,725,618,592,742,704,734
469,689,751,674,757,731,635,608,742,722,691
470,695,737,678,775,714,617,630,740,724,690
471,718,737,685,728,714,631,648,728,696,715
472,694,720,683,757,736,615,633,744,711,707
473,667,733,688,733,759,633,649,729,677,732
474,697,738,680,735,729,636,614,732,721,718
475,692,732,682,760,735,625,622,730,723,699
476,717,753,666,762,697,602,641,732,726,704
477,693,742,678,764,742,613,606,765,687,710
478,702,744,683,752,708,630,613,750,721,697
479,712,710,699,752,741,599,625,740,709,713
480,728,737,676,726,743,643,644,736,690,677
481,689,728,680,745,730,636,635,730,714,713
482,690,732,682,754,747,625,615,759,716,680
483,724,735,659,725,745,647,617,728,711,709
484,719,740,678,739,740,616,634,735,695,704
485,708,742,670,762,713,628,629,747,703,698
486,705,732,667,768,737,622,628,760,690,691
487,737,723,672,743,714,635,649,745,694,688
488,715,727,668,750,730,615,627,725,714,729
489,718,731,706,736,763,618,632,718,696,682
490,684,739,711,754,722,622,603,745,720,700
491,700,742,684,761,732,599,642,734,724,682
492,713,733,696,737,722,610,615,775,691,708
493,697,767,686,717,759,605,639,743,701,686
494,703,732,671,749,740,617,613,728,748,699
495,716,737,692,721,717,628,675,721,715,678
496,688,736,679,771,730,632,618,736,720,690
497,687,747,678,728,755,638,612,746,709,700
498,709,757,686,752,752,617,628,745,699,655
499,722,719,678,764,725,618,648,743,695,688
500,697,745,680,749,707,643,644,735,713,687
501,728,748,666,743,716,612,640,732,715,700
502,707,709,699,765,755,598,635,749,708,675
503,700,727,682,759,721,633,623,731,724,700
504,697,721,705,750,715,621,625,728,713,725
505,686,736,709,763,748,614,615,734,714,681
506,710,720,659,765,734,649,613,745,707,698
507,697,722,691,745,729,626,601,772,710,707
508,710,735,666,746,744,647,606,744,696,706
509,689,726,697,746,728,615,644,741,729,685
510,703,712,685,755,742,625,637,755,692,694
511,685,734,677,741,737,630,641,740,690,725
512,696,729,691,730,769,637,588,758,710,692
513,701,740,658,767,725,666,623,738,711,671
514,710,743,688,749,730,601,648,738,707,686
515,679,743,697,762,721,637,615,730,693,723
516,691,741,669,725,747,656,618,729,714,710
517,721,737,688,743,739,603,626,731,729,683
518,722,753,666,727,767,616,610,740,715,684
519,703,743,644,742,755,633,639,748,695,698
520,720,751,685,761,710,601,621,747,692,712
521,681,730,687,737,734,620,615,748,751,697
522,691,748,697,735,719,631,605,740,732,702
523,699,722,671,744,724,620,652,741,704,723
524,704,724,662,753,730,633,652,737,709,696
525,701,750,685,746,744,620,617,714,710,713
526,707,711,688,763,732,635,612,730,733,689
527,697,742,670,747,746,625,614,737,726,696
528,693,727,667,748,760,633,620,744,713,695
529,712,724,664,738,740,650,622,750,710,690
530,698,748,666,733,718,631,628,753,736,689
531,706,735,674,731,724,622,640,733,729,706
532,677,730,687,742,709,639,627,760,709,720
533,709,732,678,755,700,646,630,736,709,705
534,716,739,649,761,743,653,634,707,719,679
535,700,702,701,744,726,629,644,727,709,718
536,698,743,640,755,727,614,612,755,738,718
537,704,730,685,758,728,635,629,740,704,687
538,698,743,688,742,741,617,615,757,710,689
539,713,745,652,748,750,630,617,729,713,703
540,685,732,696,730,725,636,643,752,709,692
541,696,754,649,739,747,643,618,752,702,700
542,724,738,662,750,719,636,629,739,697,706
543,692,725,701,738,707,639,621,712,755,710
544,698,723,681,755,713,633,629,724,725,719
545,698,717,684,753,756,604,625,755,710,698
546,695,730,692,729,728,643,629,767,706,681
547,672,734,667,755,735,623,634,743,724,713
548,710,753,704,767,740,611,616,726,687,686
549,716,742,655,733,748,641,625,745,692,703
550,693,722,695,784,744,628,624,720,707,683
551,705,735,684,739,737,633,626,728,714,699
552,698,740,675,716,731,621,628,781,708,702
553,717,755,657,735,733,634,616,754,708,691
554,709,751,690,737,741,630,593,713,725,711
555,686,756,687,752,734,607,637,734,718,689
556,710,748,658,745,752,602,630,722,710,723
557,689,742,679,735,750,629,618,756,712,690
558,713,731,662,732,759,613,634,743,713,700
559,698,732,683,738,722,635,649,717,723,703
560,705,758,704,748,722,606,610,741,707,699
561,728,717,652,772,726,621,611,738,720,715
562,683,724,691,743,743,600,631,746,729,710
563,721,727,692,757,701,614,638,753,696,701
564,708,754,678,739,712,628,661,732,684,704
565,692,735,665,751,748,620,631,753,712,693
566,710,732,681,755,727,632,600,738,726,699
567,698,743,680,742,723,621,645,758,676,714
568,694,733,687,734,748,628,617,756,709,694
569,722,717,671,754,724,619,648,735,749,661
570,714,719,700,735,734,614,641,739,736,668
571,722,728,668,767,728,621,620,741,706,699
572,692,733,692,742,760,623,627,749,687,695
573,703,743,677,754,738,617,619,733,723,693
574,683,734,683,736,754,629,631,752,721,677
575,669,743,694,734,731,632,640,758,718,681
576,714,718,704,745,690,622,637,731,707,732
577,704,722,669,749,715,629,629,730,744,709
578,701,751,664,761,732,629,608,738,707,709
579,695,729,666,771,740,619,631,732,732,685
580,675,742,672,746,742,623,636,743,710,711
581,704,739,686,741,744,645,613,752,711,665
582,687,716,690,738,743,637,615,761,723,690
583,702,740,674,728,748,623,637,741,704,703
584,693,760,670,745,719,613,620,761,705,714
585,717,738,680,732,719,643,634,747,686,704
586,698,738,674,759,722,631,606,740,717,715
587,699,735,697,761,732,640,611,718,715,692
588,692,726,693,745,761,614,624,745,707,693
589,718,714,686,752,703,620,624,748,722,713
590,705,752,689,754,731,618,598,766,691,696
591,700,723,684,753,728,658,620,734,706,694
592,703,738,680,740,731,616,627,737,733,695
593,686,744,701,731,737,631,642,743,690,695
594,697,741,697,746,706,623,632,751,733,674
595,692,749,673,766,738,628,618,748,722,666
596,703,748,671,777,733,628,608,769,694,669
597,714,743,685,745,758,603,615,744,698,695
598,696,732,699,740,746,599,636,739,710,703
599,680,719,712,746,722,620,638,751,694,718
600,709,755,684,766,737,615,640,713,698,683
601,730,739,698,743,754,626,624,723,687,676
602,692,739,658,751,736,593,666,748,716,701
603,695,732,660,741,742,632,616,758,713,711
604,680,746,693,745,735,611,649,734,722,685
605,708,737,667,762,727,654,601,748,707,689
606,695,732,662,729,737,628,611,744,750,712
607,706,741,683,775,736,603,612,742,696,706
608,717,752,650,773,710,605,647,723,711,712
609,690,739,713,763,739,619,581,752,729,675
610,711,728,689,751,727,627,601,753,692,721
611,682,727,704,738,734,659,626,737,698,695
612,707,722,679,761,727,638,617,746,694,709
613,718,729,704,724,721,628,639,729,692,716
614,699,754,679,750,738,645,597,731,707,700
615,730,750,675,729,740,633,611,734,708,690
616,713,743,663,746,743,626,624,744,701,697
617,694,742,680,760,741,643,610,750,688,692
618,704,736,665,742,761,616,647,766,677,686
619,701,733,667,764,734,595,635,736,727,708
620,670,733,686,757,743,623,604,755,707,722
621,736,707,693,745,724,608,655,709,720,703
622,703,744,652,750,727,653,618,764,710,679
623,680,740,705,749,752,615,607,750,715,687
624,707,747,674,758,739,632,595,742,697,709
625,724,728,676,760,729,628,608,739,705,703
626,687,744,668,764,726,645,622,755,701,688
627,699,738,694,753,730,628,605,720,729,704
628,691,724,678,729,706,656,633,735,735,713
629,702,709,700,748,725,615,633,743,720,705
630,721,731,681,758,715,611,606,733,736,708
631,717,722,706,748,721,633,637,731,675,710
632,693,728,697,732,732,665,614,742,699,698
633,726,748,667,760,742,632,618,721,710,676
